idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
1,2.0,4,5,30,20,40,3.0,198,-0.92,6.67,0.31,0.3485,1.05
2,2.0,4,5,30,20,55,3.0,264,-3.59,14.96,0.08,0.3371,1.0
3,2.0,4,5,30,30,40,3.0,193,-3.63,7.31,-0.08,0.3368,0.98
4,2.0,4,5,30,30,55,3.0,232,-3.35,9.8,0.05,0.3405,1.0
5,2.0,4,5,50,20,40,3.0,198,-1.85,11.01,0.31,0.3485,1.04
6,2.0,4,5,50,20,55,3.0,264,-6.36,23.84,0.08,0.3371,1.0
7,2.0,4,5,50,30,40,3.0,193,-6.23,12.02,-0.07,0.3368,0.98
8,2.0,4,5,50,30,55,3.0,232,-5.91,15.96,0.05,0.3405,0.99
9,2.0,4,10,30,20,40,3.0,187,-0.56,10.23,0.31,0.3422,1.06
10,2.0,4,10,30,20,55,3.0,237,-1.28,16.45,0.27,0.3376,1.04
11,2.0,4,10,30,30,40,3.0,182,-4.51,10.64,-0.21,0.3297,0.95
12,2.0,4,10,30,30,55,3.0,214,-8.38,14.2,-0.63,0.3271,0.88
13,2.0,4,10,50,20,40,3.0,187,-1.29,16.58,0.31,0.3422,1.05
14,2.0,4,10,50,20,55,3.0,237,-2.66,25.99,0.27,0.3376,1.03
15,2.0,4,10,50,30,40,3.0,182,-7.71,17.21,-0.21,0.3297,0.94
16,2.0,4,10,50,30,55,3.0,214,-13.9,22.66,-0.63,0.3271,0.87
17,2.0,4,15,30,20,40,3.0,183,-3.63,8.77,-0.09,0.3443,0.97
18,2.0,4,15,30,20,55,3.0,232,-1.83,15.78,0.21,0.3362,1.03
19,2.0,4,15,30,30,40,3.0,179,-4.34,9.18,-0.2,0.3352,0.95
20,2.0,4,15,30,30,55,3.0,208,-5.44,11.93,-0.24,0.3365,0.94
21,2.0,4,15,50,20,40,3.0,183,-6.25,14.31,-0.09,0.3443,0.97
22,2.0,4,15,50,20,55,3.0,232,-3.59,24.99,0.21,0.3362,1.02
23,2.0,4,15,50,30,40,3.0,179,-7.35,14.95,-0.19,0.3352,0.95
24,2.0,4,15,50,30,55,3.0,208,-9.26,19.18,-0.24,0.3365,0.94
25,2.0,6,5,30,20,40,3.0,193,-2.52,7.45,0.08,0.3109,1.01
