idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
1,2.0,4,5,30,20,40,3.0,191,-11.88,12.48,-2.11,0.2618,0.67
2,2.0,4,5,30,20,55,3.0,258,-14.2,14.52,-1.94,0.3023,0.73
3,2.0,4,5,30,30,40,3.0,188,-11.37,11.98,-1.99,0.266,0.69
4,2.0,4,5,30,30,55,3.0,229,-9.38,9.59,-1.14,0.31,0.82
5,2.0,4,5,50,20,40,3.0,191,-19.1,20.02,-2.11,0.2618,0.67
6,2.0,4,5,50,20,55,3.0,258,-22.67,23.12,-1.94,0.3023,0.72
7,2.0,4,5,50,30,40,3.0,188,-18.32,19.24,-1.99,0.266,0.68
8,2.0,4,5,50,30,55,3.0,229,-15.28,15.6,-1.14,0.31,0.82
9,2.0,4,10,30,20,40,3.0,182,-12.8,13.69,-2.09,0.2582,0.62
10,2.0,4,10,30,20,55,3.0,231,-13.53,14.17,-1.73,0.2987,0.71
11,2.0,4,10,30,30,40,3.0,178,-12.16,13.15,-1.96,0.264,0.63
12,2.0,4,10,30,30,55,3.0,209,-12.23,13.16,-1.69,0.2871,0.7
13,2.0,4,10,50,20,40,3.0,182,-20.53,21.86,-2.09,0.2582,0.61
14,2.0,4,10,50,20,55,3.0,231,-21.69,22.61,-1.73,0.2987,0.7
15,2.0,4,10,50,30,40,3.0,178,-19.55,20.97,-1.96,0.264,0.62
16,2.0,4,10,50,30,55,3.0,209,-19.68,21.06,-1.69,0.2871,0.7
17,2.0,4,15,30,20,40,3.0,180,-15.54,16.25,-3.39,0.25,0.51
18,2.0,4,15,30,20,55,3.0,227,-13.09,13.98,-1.57,0.2907,0.72
19,2.0,4,15,30,30,40,3.0,176,-14.92,15.63,-3.23,0.2557,0.52
20,2.0,4,15,30,30,55,3.0,207,-12.2,13.15,-1.6,0.2802,0.7
21,2.0,4,15,50,20,40,3.0,180,-24.62,25.66,-3.39,0.25,0.5
22,2.0,4,15,50,20,55,3.0,227,-21.05,22.33,-1.57,0.2907,0.71
23,2.0,4,15,50,30,40,3.0,176,-23.69,24.74,-3.23,0.2557,0.51
24,2.0,4,15,50,30,55,3.0,207,-19.67,21.05,-1.6,0.2802,0.69
25,2.0,6,5,30,20,40,3.0,180,-11.99,12.53,-2.11,0.2389,0.68
26,2.0,6,5,30,20,55,3.0,244,-14.89,15.35,-2.11,0.2582,0.71
27,2.0,6,5,30,30,40,3.0,177,-11.62,12.16,-2.03,0.2429,0.69
28,2.0,6,5,30,30,55,3.0,212,-9.44,10.27,-1.19,0.2736,0.82
29,2.0,6,5,50,20,40,3.0,180,-19.28,20.09,-2.11,0.2389,0.67
30,2.0,6,5,50,20,55,3.0,244,-23.71,24.39,-2.11,0.2582,0.71
31,2.0,6,5,50,30,40,3.0,177,-18.7,19.52,-2.03,0.2429,0.68
32,2.0,6,5,50,30,55,3.0,212,-15.38,16.67,-1.19,0.2736,0.81
