idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
1,2.0,4,5,30,20,40,3.0,191,-15.97,16.37,-2.1,0.288,0.69
2,2.0,4,5,30,20,55,3.0,257,-14.27,19.82,-1.28,0.3463,0.82
3,2.0,4,5,30,30,40,3.0,188,-15.77,16.17,-2.1,0.2926,0.69
4,2.0,4,5,30,30,55,3.0,217,-17.75,19.9,-2.18,0.2949,0.69
5,2.0,4,5,50,20,40,3.0,191,-25.37,25.96,-2.1,0.288,0.68
6,2.0,4,5,50,20,55,3.0,257,-22.95,31.03,-1.28,0.3463,0.81
7,2.0,4,5,50,30,40,3.0,188,-25.07,25.66,-2.1,0.2926,0.68
8,2.0,4,5,50,30,55,3.0,217,-28.01,31.09,-2.18,0.2949,0.68
9,2.0,4,10,30,20,40,3.0,179,-17.98,18.79,-2.43,0.2793,0.61
10,2.0,4,10,30,20,55,3.0,234,-15.84,20.01,-1.5,0.359,0.76
11,2.0,4,10,30,30,40,3.0,176,-18.18,18.99,-2.49,0.2784,0.6
12,2.0,4,10,30,30,55,3.0,207,-19.82,21.57,-2.37,0.285,0.62
13,2.0,4,10,50,20,40,3.0,179,-28.32,29.5,-2.43,0.2793,0.6
14,2.0,4,10,50,20,55,3.0,234,-25.3,31.33,-1.5,0.359,0.75
15,2.0,4,10,50,30,40,3.0,176,-28.61,29.78,-2.49,0.2784,0.59
16,2.0,4,10,50,30,55,3.0,207,-31.04,33.48,-2.37,0.285,0.62
17,2.0,4,15,30,20,40,3.0,175,-15.77,16.92,-2.07,0.28,0.65
18,2.0,4,15,30,20,55,3.0,228,-12.84,17.05,-1.05,0.3596,0.81
19,2.0,4,15,30,30,40,3.0,172,-15.97,17.12,-2.13,0.2791,0.64
20,2.0,4,15,30,30,55,3.0,201,-16.73,18.61,-1.74,0.2836,0.68
21,2.0,4,15,50,20,40,3.0,175,-25.08,26.77,-2.07,0.28,0.64
22,2.0,4,15,50,20,55,3.0,228,-20.85,27.08,-1.05,0.3596,0.8
23,2.0,4,15,50,30,40,3.0,172,-25.38,27.06,-2.13,0.2791,0.63
24,2.0,4,15,50,30,55,3.0,201,-26.59,29.32,-1.74,0.2836,0.67
25,2.0,6,5,30,20,40,3.0,185,-16.37,16.99,-2.19,0.2649,0.68
26,2.0,6,5,30,20,55,3.0,240,-12.35,18.5,-1.07,0.3083,0.84
27,2.0,6,5,30,30,40,3.0,182,-16.07,16.69,-2.17,0.2637,0.68
28,2.0,6,5,30,30,55,3.0,209,-17.26,19.89,-2.07,0.2536,0.7
29,2.0,6,5,50,20,40,3.0,185,-25.95,26.87,-2.19,0.2649,0.68
30,2.0,6,5,50,20,55,3.0,240,-20.05,29.11,-1.07,0.3083,0.84
31,2.0,6,5,50,30,40,3.0,182,-25.51,26.42,-2.17,0.2637,0.68
32,2.0,6,5,50,30,55,3.0,209,-27.31,31.07,-2.07,0.2536,0.7
33,2.0,6,10,30,20,40,3.0,163,-18.68,19.44,-2.42,0.2147,0.59
34,2.0,6,10,30,20,55,3.0,199,-10.99,17.75,-0.84,0.2814,0.84
35,2.0,6,10,30,30,40,3.0,160,-18.43,19.19,-2.39,0.2062,0.59
36,2.0,6,10,30,30,55,3.0,184,-12.44,18.67,-1.12,0.2283,0.78
37,2.0,6,10,50,20,40,3.0,163,-29.37,30.46,-2.42,0.2147,0.58
38,2.0,6,10,50,20,55,3.0,199,-18.06,28.06,-0.84,0.2814,0.84
39,2.0,6,10,50,30,40,3.0,160,-29.01,30.1,-2.39,0.2062,0.58
40,2.0,6,10,50,30,55,3.0,184,-20.22,29.35,-1.12,0.2283,0.78
41,2.0,6,15,30,20,40,3.0,158,-14.89,15.83,-1.57,0.2152,0.67
42,2.0,6,15,30,20,55,3.0,190,-8.61,13.94,-0.56,0.2789,0.87
43,2.0,6,15,30,30,40,3.0,155,-14.29,15.23,-1.5,0.2129,0.68
44,2.0,6,15,30,30,55,3.0,176,-10.47,15.49,-0.84,0.2273,0.81
45,2.0,6,15,50,20,40,3.0,158,-23.86,25.25,-1.57,0.2152,0.65
46,2.0,6,15,50,20,55,3.0,190,-14.4,22.46,-0.56,0.2789,0.87
47,2.0,6,15,50,30,40,3.0,155,-22.96,24.37,-1.5,0.2129,0.66
48,2.0,6,15,50,30,55,3.0,176,-17.24,24.73,-0.84,0.2273,0.8
49,2.0,8,5,30,20,40,3.0,185,-16.24,16.86,-2.16,0.2649,0.68
50,2.0,8,5,30,20,55,3.0,236,-11.0,17.3,-0.89,0.3136,0.87
51,2.0,8,5,30,30,40,3.0,182,-16.39,17.01,-2.23,0.2637,0.67
52,2.0,8,5,30,30,55,3.0,209,-16.96,19.59,-2.01,0.2584,0.71
53,2.0,8,5,50,20,40,3.0,185,-25.76,26.68,-2.16,0.2649,0.68
54,2.0,8,5,50,20,55,3.0,236,-17.99,27.37,-0.89,0.3136,0.86
55,2.0,8,5,50,30,40,3.0,182,-25.99,26.9,-2.23,0.2637,0.67
56,2.0,8,5,50,30,55,3.0,209,-26.87,30.65,-2.01,0.2584,0.71
57,2.0,8,10,30,20,40,3.0,156,-18.96,19.77,-2.43,0.1859,0.58
58,2.0,8,10,30,20,55,3.0,174,-5.09,12.77,-0.2,0.2586,0.95
59,2.0,8,10,30,30,40,3.0,153,-17.9,18.71,-2.27,0.1895,0.6
60,2.0,8,10,30,30,55,3.0,171,-8.48,14.1,-0.64,0.2105,0.86
61,2.0,8,10,50,20,40,3.0,156,-29.79,30.94,-2.43,0.1859,0.57
62,2.0,8,10,50,20,55,3.0,174,-8.86,20.6,-0.2,0.2586,0.94
63,2.0,8,10,50,30,40,3.0,153,-28.24,29.42,-2.27,0.1895,0.59
64,2.0,8,10,50,30,55,3.0,171,-14.13,22.64,-0.64,0.2105,0.86
65,2.0,8,15,30,20,40,3.0,149,-11.29,13.68,-1.0,0.1745,0.76
66,2.0,8,15,30,20,55,3.0,153,-5.69,10.93,-0.31,0.2418,0.92
67,2.0,8,15,30,30,40,3.0,147,-10.35,13.59,-0.89,0.1769,0.78
68,2.0,8,15,30,30,55,3.0,161,-7.89,14.09,-0.53,0.1863,0.86
69,2.0,8,15,50,20,40,3.0,149,-18.48,21.81,-1.0,0.1745,0.75
70,2.0,8,15,50,20,55,3.0,153,-9.78,17.91,-0.31,0.2418,0.91
71,2.0,8,15,50,30,40,3.0,147,-17.03,21.64,-0.89,0.1769,0.77
72,2.0,8,15,50,30,55,3.0,161,-13.27,22.39,-0.53,0.1863,0.85
73,3.0,4,5,30,20,40,3.0,157,-14.15,14.43,-1.65,0.3567,0.73
74,3.0,4,5,30,20,55,3.0,215,-15.99,20.67,-1.43,0.4093,0.78
75,3.0,4,5,30,30,40,3.0,154,-13.52,13.81,-1.58,0.3636,0.73
76,3.0,4,5,30,30,55,3.0,186,-18.39,19.97,-2.03,0.3817,0.69
77,3.0,4,5,50,20,40,3.0,157,-22.71,23.14,-1.65,0.3567,0.73
78,3.0,4,5,50,20,55,3.0,215,-25.58,32.31,-1.43,0.4093,0.78
79,3.0,4,5,50,30,40,3.0,154,-21.76,22.19,-1.58,0.3636,0.73
80,3.0,4,5,50,30,55,3.0,186,-29.01,31.28,-2.03,0.3817,0.69
81,3.0,4,10,30,20,40,3.0,148,-16.74,17.02,-2.05,0.3446,0.64
82,3.0,4,10,30,20,55,3.0,193,-17.14,20.59,-1.62,0.4197,0.72
83,3.0,4,10,30,30,40,3.0,145,-16.67,16.95,-2.07,0.3448,0.63
84,3.0,4,10,30,30,55,3.0,176,-21.08,22.21,-2.38,0.3693,0.61
85,3.0,4,10,50,20,40,3.0,148,-26.56,26.97,-2.05,0.3446,0.63
86,3.0,4,10,50,20,55,3.0,193,-27.27,32.2,-1.62,0.4197,0.71
87,3.0,4,10,50,30,40,3.0,145,-26.46,26.86,-2.07,0.3448,0.62
88,3.0,4,10,50,30,55,3.0,176,-32.9,34.47,-2.38,0.3693,0.61
89,3.0,4,15,30,20,40,3.0,143,-17.83,18.1,-2.41,0.3497,0.6
90,3.0,4,15,30,20,55,3.0,188,-15.55,18.81,-1.54,0.4255,0.74
91,3.0,4,15,30,30,40,3.0,140,-17.76,18.03,-2.44,0.35,0.59
92,3.0,4,15,30,30,55,3.0,169,-18.02,19.19,-2.05,0.3787,0.65
93,3.0,4,15,50,20,40,3.0,143,-28.12,28.52,-2.41,0.3497,0.59
94,3.0,4,15,50,20,55,3.0,188,-24.87,29.6,-1.54,0.4255,0.73
95,3.0,4,15,50,30,40,3.0,140,-28.02,28.42,-2.44,0.35,0.58
96,3.0,4,15,50,30,55,3.0,0,0,0,0,0,0
97,3.0,6,5,30,20,40,3.0,0,0,0,0,0,0
98,3.0,6,5,30,20,55,3.0,0,0,0,0,0,0
99,3.0,6,5,30,30,40,3.0,0,0,0,0,0,0
100,3.0,6,5,30,30,55,3.0,170,-21.4,23.34,-2.49,0.3118,0.64
101,3.0,6,5,50,20,40,3.0,147,-21.64,22.14,-1.53,0.3333,0.74
102,3.0,6,5,50,20,55,3.0,0,0,0,0,0,0
103,3.0,6,5,50,30,40,3.0,143,-20.91,21.43,-1.49,0.3287,0.75
104,3.0,6,5,50,30,55,3.0,170,-33.34,36.04,-2.49,0.3118,0.63
105,3.0,6,10,30,20,40,3.0,124,-13.57,13.85,-1.45,0.3065,0.7
106,3.0,6,10,30,20,55,3.0,162,-18.1,25.04,-1.66,0.3025,0.71
107,3.0,6,10,30,30,40,3.0,120,-13.58,13.87,-1.48,0.2917,0.69
108,3.0,6,10,30,30,55,3.0,149,-13.62,18.61,-1.19,0.2953,0.77
109,3.0,6,10,50,20,40,3.0,124,-21.89,22.32,-1.45,0.3065,0.69
110,3.0,6,10,50,20,55,3.0,162,-28.72,38.39,-1.66,0.3025,0.7
111,3.0,6,10,50,30,40,3.0,120,-21.9,22.33,-1.48,0.2917,0.68
112,3.0,6,10,50,30,55,3.0,149,-22.09,29.32,-1.19,0.2953,0.76
113,3.0,6,15,30,20,40,3.0,117,-15.85,16.13,-1.88,0.2991,0.62
114,3.0,6,15,30,20,55,3.0,156,-17.34,21.38,-1.68,0.2949,0.7
115,3.0,6,15,30,30,40,3.0,113,-15.29,15.57,-1.83,0.292,0.62
