idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
1,2.0,4,5,30,20,40,3.0,198,-13.31,15.16,-1.66,0.2879,0.74
2,2.0,4,5,30,20,55,3.0,255,-3.7,9.16,0.05,0.349,1.0
3,2.0,4,5,30,30,40,3.0,198,-15.07,16.88,-2.0,0.2778,0.7
4,2.0,4,5,30,30,55,3.0,233,-11.32,14.44,-1.04,0.3047,0.83
5,2.0,4,5,50,20,40,3.0,198,-21.38,24.13,-1.66,0.2879,0.74
6,2.0,4,5,50,20,55,3.0,255,-6.45,14.84,0.05,0.349,1.0
7,2.0,4,5,50,30,40,3.0,198,-24.02,26.68,-2.0,0.2778,0.7
8,2.0,4,5,50,30,55,3.0,233,-18.42,23.13,-1.04,0.3047,0.83
9,2.0,4,10,30,20,40,3.0,189,-13.33,14.67,-1.48,0.2804,0.73
10,2.0,4,10,30,20,55,3.0,229,-6.93,12.25,-0.37,0.3362,0.92
11,2.0,4,10,30,30,40,3.0,190,-16.69,17.99,-2.1,0.2632,0.64
12,2.0,4,10,30,30,55,3.0,212,-9.03,14.79,-0.68,0.3019,0.86
13,2.0,4,10,50,20,40,3.0,189,-21.45,23.46,-1.48,0.2804,0.72
14,2.0,4,10,50,20,55,3.0,229,-11.67,19.65,-0.37,0.3362,0.91
15,2.0,4,10,50,30,40,3.0,190,-26.45,28.33,-2.1,0.2632,0.63
16,2.0,4,10,50,30,55,3.0,212,-14.94,23.47,-0.68,0.3019,0.85
17,2.0,4,15,30,20,40,3.0,189,-13.26,14.61,-1.48,0.2804,0.73
18,2.0,4,15,30,20,55,3.0,223,-6.38,11.58,-0.35,0.3498,0.93
19,2.0,4,15,30,30,40,3.0,189,-16.06,17.37,-2.0,0.2646,0.65
20,2.0,4,15,30,30,55,3.0,209,-10.28,13.49,-0.94,0.3062,0.82
21,2.0,4,15,50,20,40,3.0,189,-21.35,23.36,-1.48,0.2804,0.72
22,2.0,4,15,50,20,55,3.0,223,-10.75,18.62,-0.35,0.3498,0.92
23,2.0,4,15,50,30,40,3.0,189,-25.52,27.43,-2.0,0.2646,0.65
24,2.0,4,15,50,30,55,3.0,209,-16.83,21.54,-0.94,0.3062,0.81
25,2.0,6,5,30,20,40,3.0,191,-16.25,18.34,-2.28,0.2565,0.67
26,2.0,6,5,30,20,55,3.0,237,-1.67,8.96,0.26,0.3165,1.03
27,2.0,6,5,30,30,40,3.0,189,-16.11,18.2,-2.27,0.2593,0.67
28,2.0,6,5,30,30,55,3.0,224,-8.61,12.43,-0.66,0.2857,0.89
29,2.0,6,5,50,20,40,3.0,191,-25.77,28.8,-2.28,0.2565,0.66
30,2.0,6,5,50,20,55,3.0,237,-3.17,14.54,0.26,0.3165,1.03
31,2.0,6,5,50,30,40,3.0,189,-25.56,28.6,-2.27,0.2593,0.67
32,2.0,6,5,50,30,55,3.0,224,-14.24,20.09,-0.66,0.2857,0.88
33,2.0,6,10,30,20,40,3.0,171,-9.31,13.95,-0.82,0.2456,0.82
34,2.0,6,10,30,20,55,3.0,198,-4.87,10.81,-0.15,0.2525,0.96
