idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
1,2.0,4,5,30,20,40,3.0,535,-15.74,16.69,-0.85,0.2916,0.88
2,2.0,4,5,30,20,55,3.0,728,-15.04,16.94,-0.33,0.3228,0.95
3,2.0,4,5,30,30,40,3.0,525,-14.39,15.35,-0.72,0.2971,0.89
4,2.0,4,5,30,30,55,3.0,626,-17.72,19.15,-0.78,0.3019,0.88
5,2.0,4,5,50,20,40,3.0,535,-25.05,26.44,-0.85,0.2916,0.88
6,2.0,4,5,50,20,55,3.0,728,-24.12,26.82,-0.33,0.3228,0.95
7,2.0,4,5,50,30,40,3.0,525,-23.02,24.46,-0.72,0.2971,0.89
8,2.0,4,5,50,30,55,3.0,626,-28.01,30.01,-0.78,0.3019,0.89
9,2.0,4,10,30,20,40,3.0,498,-14.41,15.53,-0.7,0.2952,0.88
10,2.0,4,10,30,20,55,3.0,640,-19.56,21.35,-0.8,0.3219,0.86
11,2.0,4,10,30,30,40,3.0,489,-12.98,14.12,-0.57,0.3027,0.9
12,2.0,4,10,30,30,55,3.0,562,-20.19,21.83,-1.08,0.2989,0.82
13,2.0,4,10,50,20,40,3.0,498,-23.12,24.72,-0.7,0.2952,0.88
14,2.0,4,10,50,20,55,3.0,640,-30.75,33.25,-0.8,0.3219,0.86
15,2.0,4,10,50,30,40,3.0,489,-20.96,22.61,-0.57,0.3027,0.9
16,2.0,4,10,50,30,55,3.0,562,-31.6,33.9,-1.08,0.2989,0.82
17,2.0,4,15,30,20,40,3.0,489,-13.22,14.78,-0.59,0.2986,0.9
18,2.0,4,15,30,20,55,3.0,629,-18.26,19.81,-0.72,0.3259,0.87
19,2.0,4,15,30,30,40,3.0,481,-11.79,13.36,-0.46,0.3056,0.92
20,2.0,4,15,30,30,55,3.0,549,-19.73,21.14,-1.1,0.3005,0.82
21,2.0,4,15,50,20,40,3.0,489,-21.32,23.55,-0.59,0.2986,0.9
22,2.0,4,15,50,20,55,3.0,629,-28.86,31.05,-0.72,0.3259,0.87
23,2.0,4,15,50,30,40,3.0,481,-19.15,21.42,-0.46,0.3056,0.92
24,2.0,4,15,50,30,55,3.0,549,-30.93,32.89,-1.1,0.3005,0.82
25,2.0,6,5,30,20,40,3.0,518,-16.91,17.92,-1.0,0.2606,0.86
26,2.0,6,5,30,20,55,3.0,681,-9.1,14.74,0.07,0.3025,1.01
27,2.0,6,5,30,30,40,3.0,507,-15.21,16.22,-0.84,0.2663,0.88
28,2.0,6,5,30,30,55,3.0,596,-15.85,19.05,-0.62,0.2701,0.91
29,2.0,6,5,50,20,40,3.0,518,-26.79,28.23,-1.0,0.2606,0.86
30,2.0,6,5,50,20,55,3.0,0,0,0,0,0,0
31,2.0,6,5,50,30,40,3.0,0,0,0,0,0,0
32,2.0,6,5,50,30,55,3.0,0,0,0,0,0,0
33,2.0,6,10,30,20,40,3.0,0,0,0,0,0,0
34,2.0,6,10,30,20,55,3.0,0,0,0,0,0,0
35,2.0,6,10,30,30,40,3.0,0,0,0,0,0,0
36,2.0,6,10,30,30,55,3.0,489,-7.93,16.04,-0.03,0.2515,0.99
37,2.0,6,10,50,20,40,3.0,442,-15.37,20.41,-0.26,0.2466,0.95
38,2.0,6,10,50,20,55,3.0,532,-18.67,25.76,-0.25,0.2726,0.94
39,2.0,6,10,50,30,40,3.0,432,-11.03,16.81,0.0,0.2546,0.99
40,2.0,6,10,50,30,55,3.0,489,-13.31,25.37,-0.03,0.2515,0.98
41,2.0,6,15,30,20,40,3.0,430,-18.27,19.57,-1.41,0.2419,0.78
42,2.0,6,15,30,20,55,3.0,503,-14.08,17.22,-0.49,0.2763,0.89
43,2.0,6,15,30,30,40,3.0,420,-16.09,17.42,-1.17,0.25,0.81
44,2.0,6,15,30,30,55,3.0,472,-14.39,18.11,-0.59,0.2479,0.87
45,2.0,6,15,50,20,40,3.0,430,-28.76,30.58,-1.41,0.2419,0.78
46,2.0,6,15,50,20,55,3.0,503,-22.79,27.34,-0.49,0.2763,0.89
47,2.0,6,15,50,30,40,3.0,420,-25.57,27.47,-1.17,0.25,0.81
48,2.0,6,15,50,30,55,3.0,472,-23.22,28.6,-0.59,0.2479,0.87
49,2.0,8,5,30,20,40,3.0,513,-15.52,17.29,-0.85,0.2651,0.88
50,2.0,8,5,30,20,55,3.0,670,-10.04,16.06,-0.01,0.297,1.0
51,2.0,8,5,30,30,40,3.0,502,-13.46,15.1,-0.65,0.2709,0.9
52,2.0,8,5,30,30,55,3.0,594,-15.75,19.24,-0.61,0.2694,0.91
53,2.0,8,5,50,20,40,3.0,513,-24.73,27.32,-0.85,0.2651,0.88
54,2.0,8,5,50,20,55,3.0,670,-16.57,25.61,-0.01,0.297,0.99
55,2.0,8,5,50,30,40,3.0,502,-21.64,24.08,-0.65,0.2709,0.9
56,2.0,8,5,50,30,55,3.0,594,-25.14,30.21,-0.61,0.2694,0.91
57,2.0,8,10,30,20,40,3.0,415,-2.52,9.86,0.34,0.2145,1.06
58,2.0,8,10,30,20,55,3.0,475,-1.65,16.34,0.41,0.2337,1.07
59,2.0,8,10,30,30,40,3.0,402,0.53,9.13,0.59,0.2214,1.11
60,2.0,8,10,30,30,55,3.0,450,-5.21,17.12,0.14,0.2222,1.02
61,2.0,8,10,50,20,40,3.0,415,-4.63,16.0,0.34,0.2145,1.06
62,2.0,8,10,50,20,55,3.0,475,-3.33,25.85,0.41,0.2337,1.07
63,2.0,8,10,50,30,40,3.0,402,0.4,14.86,0.59,0.2214,1.11
64,2.0,8,10,50,30,55,3.0,450,-9.03,26.96,0.14,0.2222,1.01
65,2.0,8,15,30,20,40,3.0,392,-13.34,14.52,-0.7,0.2041,0.85
66,2.0,8,15,30,20,55,3.0,435,-5.05,17.62,0.13,0.2414,1.02
67,2.0,8,15,30,30,40,3.0,384,-11.88,14.05,-0.57,0.2109,0.88
68,2.0,8,15,30,30,55,3.0,422,-8.36,19.82,-0.13,0.218,0.96
69,2.0,8,15,50,20,40,3.0,392,-21.59,23.12,-0.7,0.2041,0.85
70,2.0,8,15,50,20,55,3.0,435,-8.87,27.7,0.13,0.2414,1.01
71,2.0,8,15,50,30,40,3.0,384,-19.37,22.43,-0.57,0.2109,0.87
72,2.0,8,15,50,30,55,3.0,422,-14.06,30.86,-0.13,0.218,0.95
73,3.0,4,5,30,20,40,3.0,456,-15.18,16.02,-0.88,0.3816,0.87
74,3.0,4,5,30,20,55,3.0,598,-14.97,15.69,-0.46,0.393,0.93
75,3.0,4,5,30,30,40,3.0,448,-13.44,14.3,-0.71,0.3884,0.89
76,3.0,4,5,30,30,55,3.0,529,-20.22,20.93,-1.14,0.38,0.84
77,3.0,4,5,50,20,40,3.0,456,-24.25,25.47,-0.88,0.3816,0.87
78,3.0,4,5,50,20,55,3.0,598,-24.06,25.13,-0.46,0.393,0.93
79,3.0,4,5,50,30,40,3.0,448,-21.65,22.91,-0.71,0.3884,0.89
80,3.0,4,5,50,30,55,3.0,529,-31.66,32.59,-1.14,0.38,0.84
81,3.0,4,10,30,20,40,3.0,428,-14.6,15.91,-0.81,0.3808,0.87
82,3.0,4,10,30,20,55,3.0,528,-19.05,20.36,-0.89,0.3977,0.86
83,3.0,4,10,30,30,40,3.0,420,-12.58,13.92,-0.62,0.3905,0.9
84,3.0,4,10,30,30,55,3.0,480,-21.89,23.58,-1.3,0.3708,0.79
85,3.0,4,10,50,20,40,3.0,0,0,0,0,0,0
86,3.0,4,10,50,20,55,3.0,0,0,0,0,0,0
87,3.0,4,10,50,30,40,3.0,420,-20.4,22.34,-0.62,0.3905,0.89
88,3.0,4,10,50,30,55,3.0,480,-34.08,36.35,-1.3,0.3708,0.8
89,3.0,4,15,30,20,40,3.0,420,-13.68,15.19,-0.74,0.3833,0.88
90,3.0,4,15,30,20,55,3.0,522,-16.69,17.64,-0.68,0.4004,0.88
91,3.0,4,15,30,30,40,3.0,412,-11.48,13.02,-0.52,0.3932,0.91
92,3.0,4,15,30,30,55,3.0,470,-20.57,21.84,-1.23,0.3745,0.8
93,3.0,4,15,50,20,40,3.0,420,-22.06,24.23,-0.74,0.3833,0.88
94,3.0,4,15,50,20,55,3.0,522,-26.65,28.04,-0.68,0.4004,0.88
95,3.0,4,15,50,30,40,3.0,412,-18.71,20.97,-0.52,0.3932,0.91
96,3.0,4,15,50,30,55,3.0,470,-32.2,33.9,-1.23,0.3745,0.8
97,3.0,6,5,30,20,40,3.0,421,-12.28,14.57,-0.61,0.3587,0.91
98,3.0,6,5,30,20,55,3.0,536,-1.18,12.39,0.49,0.3881,1.07
99,3.0,6,5,30,30,40,3.0,413,-10.53,14.17,-0.44,0.3632,0.93
100,3.0,6,5,30,30,55,3.0,490,-13.09,16.68,-0.48,0.3633,0.93
101,3.0,6,5,50,20,40,3.0,421,-19.91,23.28,-0.61,0.3587,0.9
102,3.0,6,5,50,20,55,3.0,536,-2.53,19.87,0.49,0.3881,1.07
103,3.0,6,5,50,30,40,3.0,413,-17.22,22.62,-0.44,0.3632,0.93
104,3.0,6,5,50,30,55,3.0,490,-21.22,26.54,-0.48,0.3633,0.93
105,3.0,6,10,30,20,40,3.0,357,-1.65,11.78,0.36,0.3445,1.06
106,3.0,6,10,30,20,55,3.0,412,-7.75,14.83,-0.11,0.3495,0.97
107,3.0,6,10,30,30,40,3.0,349,1.53,11.57,0.64,0.3553,1.11
108,3.0,6,10,30,30,55,3.0,0,0,0,0,0,0
