idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
1,2.0,4,5,30,20,40,3.0,174,-0.84,8.55,0.3,0.4023,1.05
2,2.0,4,5,30,20,55,3.0,255,3.16,9.6,0.75,0.3725,1.13
3,2.0,4,5,30,30,40,3.0,172,-0.31,8.55,0.37,0.407,1.06
4,2.0,4,5,30,30,55,3.0,206,7.97,5.98,1.23,0.4029,1.26
5,2.0,4,5,50,20,40,3.0,174,-1.65,13.86,0.3,0.4023,1.04
6,2.0,4,5,50,20,55,3.0,0,0,0,0,0,0
7,2.0,4,5,50,30,40,3.0,172,-0.77,13.86,0.37,0.407,1.06
8,2.0,4,5,50,30,55,3.0,206,13.13,9.82,1.23,0.4029,1.25
9,2.0,4,10,30,20,40,3.0,163,-2.33,9.49,0.05,0.3865,1.0
10,2.0,4,10,30,20,55,3.0,226,-7.48,14.34,-0.45,0.3761,0.91
11,2.0,4,10,30,30,40,3.0,161,-1.8,9.49,0.12,0.3913,1.02
12,2.0,4,10,30,30,55,3.0,184,2.1,7.63,0.59,0.3967,1.13
13,2.0,4,10,50,20,40,3.0,163,-4.11,15.33,0.05,0.3865,0.99
14,2.0,4,10,50,20,55,3.0,226,-12.52,22.96,-0.45,0.3761,0.9
15,2.0,4,10,50,30,40,3.0,161,-3.26,15.33,0.12,0.3913,1.01
16,2.0,4,10,50,30,55,3.0,184,3.09,12.43,0.59,0.3967,1.12
17,2.0,4,15,30,20,40,3.0,159,-2.15,9.49,0.07,0.3836,1.0
18,2.0,4,15,30,20,55,3.0,223,-7.46,12.94,-0.44,0.3677,0.91
19,2.0,4,15,30,30,40,3.0,157,-1.62,9.49,0.13,0.3885,1.02
20,2.0,4,15,30,30,55,3.0,180,3.95,7.28,0.74,0.3889,1.17
21,2.0,4,15,50,20,40,3.0,159,-3.85,15.33,0.07,0.3836,1.0
22,2.0,4,15,50,20,55,3.0,223,-12.51,20.88,-0.44,0.3677,0.9
23,2.0,4,15,50,30,40,3.0,157,-2.99,15.33,0.13,0.3885,1.01
24,2.0,4,15,50,30,55,3.0,180,6.16,11.86,0.74,0.3889,1.17
25,2.0,6,5,30,20,40,3.0,164,4.88,6.72,1.1,0.3659,1.22
26,2.0,6,5,30,20,55,3.0,242,0.94,11.08,0.53,0.3264,1.08
27,2.0,6,5,30,30,40,3.0,162,5.44,6.72,1.18,0.3704,1.24
28,2.0,6,5,30,30,55,3.0,194,12.56,6.76,1.68,0.3866,1.36
29,2.0,6,5,50,20,40,3.0,164,8.0,10.98,1.1,0.3659,1.22
30,2.0,6,5,50,20,55,3.0,242,1.07,17.86,0.53,0.3264,1.08
31,2.0,6,5,50,30,40,3.0,162,8.96,10.98,1.18,0.3704,1.24
32,2.0,6,5,50,30,55,3.0,194,21.26,11.07,1.68,0.3866,1.35
33,2.0,6,10,30,20,40,3.0,136,8.71,7.06,1.3,0.3309,1.38
34,2.0,6,10,30,20,55,3.0,187,8.1,9.72,1.04,0.2995,1.25
35,2.0,6,10,30,30,40,3.0,134,9.21,7.06,1.35,0.3358,1.4
36,2.0,6,10,30,30,55,3.0,154,16.03,7.82,1.75,0.3636,1.52
37,2.0,6,10,50,20,40,3.0,136,14.51,11.5,1.3,0.3309,1.38
38,2.0,6,10,50,20,55,3.0,187,13.16,15.74,1.04,0.2995,1.24
39,2.0,6,10,50,30,40,3.0,134,15.39,11.5,1.35,0.3358,1.4
40,2.0,6,10,50,30,55,3.0,154,27.41,12.69,1.75,0.3636,1.51
41,2.0,6,15,30,20,40,3.0,125,7.87,8.47,1.03,0.304,1.35
42,2.0,6,15,30,20,55,3.0,173,5.25,10.31,0.73,0.2832,1.19
43,2.0,6,15,30,30,40,3.0,122,8.7,8.47,1.11,0.3115,1.39
44,2.0,6,15,30,30,55,3.0,136,12.69,7.82,1.33,0.3382,1.46
45,2.0,6,15,50,20,40,3.0,125,12.9,13.76,1.03,0.304,1.35
46,2.0,6,15,50,20,55,3.0,173,8.16,16.64,0.73,0.2832,1.18
47,2.0,6,15,50,30,40,3.0,122,14.35,13.76,1.11,0.3115,1.39
48,2.0,6,15,50,30,55,3.0,136,21.26,12.69,1.33,0.3382,1.46
