idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
1,2.0,4,5,30,20,40,3.0,180,-10.11,11.02,-1.28,0.3,0.77
2,2.0,4,5,30,20,55,3.0,246,-12.83,14.31,-1.2,0.3089,0.82
3,2.0,4,5,30,30,40,3.0,178,-10.05,10.41,-1.29,0.3034,0.77
4,2.0,4,5,30,30,55,3.0,219,-4.04,10.39,-0.07,0.347,0.98
5,2.0,4,5,50,20,40,3.0,180,-16.44,17.76,-1.28,0.3,0.77
6,2.0,4,5,50,20,55,3.0,246,-20.75,22.95,-1.2,0.3089,0.81
7,2.0,4,5,50,30,40,3.0,178,-16.35,16.81,-1.29,0.3034,0.77
8,2.0,4,5,50,30,55,3.0,219,-6.95,16.82,-0.07,0.347,0.97
9,2.0,4,10,30,20,40,3.0,167,-4.32,10.34,-0.19,0.2874,0.94
10,2.0,4,10,30,20,55,3.0,227,-12.44,15.11,-1.01,0.2863,0.81
11,2.0,4,10,30,30,40,3.0,165,-4.31,9.73,-0.2,0.2909,0.94
12,2.0,4,10,30,30,55,3.0,201,-5.71,12.79,-0.26,0.3134,0.93
13,2.0,4,10,50,20,40,3.0,167,-7.43,16.71,-0.19,0.2874,0.93
14,2.0,4,10,50,20,55,3.0,227,-20.23,24.0,-1.01,0.2863,0.8
15,2.0,4,10,50,30,40,3.0,165,-7.41,15.75,-0.2,0.2909,0.93
16,2.0,4,10,50,30,55,3.0,201,-9.76,20.47,-0.26,0.3134,0.92
17,2.0,4,15,30,20,40,3.0,165,-4.15,10.67,-0.18,0.2848,0.94
18,2.0,4,15,30,20,55,3.0,222,-11.34,14.2,-0.86,0.2928,0.82
19,2.0,4,15,30,30,40,3.0,163,-4.14,10.05,-0.18,0.2883,0.94
20,2.0,4,15,30,30,55,3.0,196,-4.9,12.37,-0.17,0.3214,0.95
21,2.0,4,15,50,20,40,3.0,165,-7.14,17.19,-0.18,0.2848,0.94
22,2.0,4,15,50,20,55,3.0,222,-18.58,22.64,-0.86,0.2928,0.81
23,2.0,4,15,50,30,40,3.0,163,-7.12,16.24,-0.18,0.2883,0.93
24,2.0,4,15,50,30,55,3.0,196,-8.46,19.82,-0.17,0.3214,0.94
25,2.0,6,5,30,20,40,3.0,174,-9.59,11.38,-1.12,0.2586,0.8
26,2.0,6,5,30,20,55,3.0,240,-11.5,14.86,-0.97,0.2833,0.85
27,2.0,6,5,30,30,40,3.0,172,-9.92,11.16,-1.19,0.2558,0.79
28,2.0,6,5,30,30,55,3.0,211,-4.19,10.49,-0.09,0.3033,0.98
29,2.0,6,5,50,20,40,3.0,174,-15.67,18.32,-1.12,0.2586,0.8
30,2.0,6,5,50,20,55,3.0,240,-18.75,23.63,-0.97,0.2833,0.85
31,2.0,6,5,50,30,40,3.0,172,-16.18,17.98,-1.19,0.2558,0.78
32,2.0,6,5,50,30,55,3.0,211,-7.22,16.98,-0.09,0.3033,0.97
33,2.0,6,10,30,20,40,3.0,154,2.44,9.34,0.56,0.2532,1.14
34,2.0,6,10,30,20,55,3.0,206,-6.89,13.11,-0.34,0.2476,0.92
35,2.0,6,10,30,30,40,3.0,152,2.36,9.03,0.55,0.25,1.14
36,2.0,6,10,30,30,55,3.0,182,2.18,10.33,0.51,0.2582,1.11
37,2.0,6,10,50,20,40,3.0,154,3.64,15.15,0.56,0.2532,1.13
38,2.0,6,10,50,20,55,3.0,206,-11.73,21.03,-0.34,0.2476,0.92
39,2.0,6,10,50,30,40,3.0,152,3.51,14.67,0.55,0.25,1.13
40,2.0,6,10,50,30,55,3.0,182,3.03,16.7,0.51,0.2582,1.1
41,2.0,6,15,30,20,40,3.0,150,3.17,9.0,0.63,0.26,1.17
42,2.0,6,15,30,20,55,3.0,188,-4.56,10.33,-0.13,0.2553,0.96
43,2.0,6,15,30,30,40,3.0,148,2.41,9.36,0.54,0.25,1.14
44,2.0,6,15,30,30,55,3.0,168,-0.62,7.28,0.24,0.2679,1.05
45,2.0,6,15,50,20,40,3.0,150,4.86,14.57,0.63,0.26,1.16
46,2.0,6,15,50,20,55,3.0,188,-7.99,16.67,-0.13,0.2553,0.95
47,2.0,6,15,50,30,40,3.0,148,3.57,15.14,0.54,0.25,1.14
48,2.0,6,15,50,30,55,3.0,168,-1.55,11.84,0.24,0.2679,1.04
49,2.0,8,5,30,20,40,3.0,174,-8.44,11.38,-0.91,0.2644,0.83
50,2.0,8,5,30,20,55,3.0,239,-9.95,15.11,-0.75,0.2845,0.88
51,2.0,8,5,30,30,40,3.0,172,-8.77,11.16,-0.98,0.2616,0.82
52,2.0,8,5,30,30,55,3.0,213,-2.71,10.77,0.1,0.3052,1.01
53,2.0,8,5,50,20,40,3.0,174,-13.87,18.32,-0.91,0.2644,0.83
54,2.0,8,5,50,20,55,3.0,239,-16.37,24.01,-0.75,0.2845,0.87
55,2.0,8,5,50,30,40,3.0,172,-14.39,17.98,-0.98,0.2616,0.82
56,2.0,8,5,50,30,55,3.0,213,-4.84,17.4,0.1,0.3052,1.0
57,2.0,8,10,30,20,40,3.0,150,-1.58,10.37,0.12,0.2133,1.02
58,2.0,8,10,30,20,55,3.0,195,-7.37,13.17,-0.39,0.2051,0.91
59,2.0,8,10,30,30,40,3.0,148,-1.64,10.29,0.11,0.2095,1.01
60,2.0,8,10,30,30,55,3.0,173,-3.03,10.96,0.01,0.2023,0.99
61,2.0,8,10,50,20,40,3.0,150,-3.06,16.79,0.12,0.2133,1.01
62,2.0,8,10,50,20,55,3.0,195,-12.53,21.09,-0.39,0.2051,0.9
63,2.0,8,10,50,30,40,3.0,148,-3.16,16.67,0.11,0.2095,1.01
64,2.0,8,10,50,30,55,3.0,173,-5.58,17.66,0.01,0.2023,0.98
65,2.0,8,15,30,20,40,3.0,141,4.04,8.83,0.64,0.2199,1.2
66,2.0,8,15,30,20,55,3.0,167,-1.28,12.5,0.16,0.2096,1.03
67,2.0,8,15,30,30,40,3.0,142,3.15,8.87,0.56,0.2113,1.16
68,2.0,8,15,30,30,55,3.0,159,-1.18,8.79,0.16,0.2075,1.03
69,2.0,8,15,50,20,40,3.0,141,6.24,14.37,0.64,0.2199,1.19
70,2.0,8,15,50,20,55,3.0,167,-2.79,20.02,0.16,0.2096,1.02
71,2.0,8,15,50,30,40,3.0,142,4.73,14.43,0.56,0.2113,1.16
72,2.0,8,15,50,30,55,3.0,159,-2.59,14.4,0.16,0.2075,1.02
73,3.0,4,5,30,20,40,3.0,152,-13.06,13.71,-1.73,0.3684,0.7
74,3.0,4,5,30,20,55,3.0,203,-17.16,19.05,-1.68,0.3842,0.74
75,3.0,4,5,30,30,40,3.0,150,-12.02,12.67,-1.57,0.38,0.72
76,3.0,4,5,30,30,55,3.0,182,-6.13,13.94,-0.37,0.4231,0.92
77,3.0,4,5,50,20,40,3.0,152,-21.0,21.98,-1.73,0.3684,0.7
78,3.0,4,5,50,20,55,3.0,203,-27.28,29.98,-1.68,0.3842,0.73
79,3.0,4,5,50,30,40,3.0,150,-19.41,20.41,-1.57,0.38,0.72
80,3.0,4,5,50,30,55,3.0,182,-10.38,22.27,-0.37,0.4231,0.92
81,3.0,4,10,30,20,40,3.0,142,-5.86,11.27,-0.4,0.3592,0.89
82,3.0,4,10,30,20,55,3.0,184,-13.35,17.98,-1.1,0.375,0.78
83,3.0,4,10,30,30,40,3.0,140,-4.78,9.81,-0.27,0.3714,0.92
84,3.0,4,10,30,30,55,3.0,168,-6.63,16.95,-0.38,0.3929,0.9
85,3.0,4,10,50,20,40,3.0,142,-9.96,18.18,-0.4,0.3592,0.88
86,3.0,4,10,50,20,55,3.0,184,-21.68,28.28,-1.1,0.375,0.77
87,3.0,4,10,50,30,40,3.0,140,-8.22,15.92,-0.27,0.3714,0.91
88,3.0,4,10,50,30,55,3.0,168,-11.28,26.74,-0.38,0.3929,0.89
89,3.0,4,15,30,20,40,3.0,140,-4.82,10.76,-0.28,0.3571,0.92
90,3.0,4,15,30,20,55,3.0,179,-12.39,16.65,-0.97,0.3799,0.79
91,3.0,4,15,30,30,40,3.0,137,-3.8,9.37,-0.17,0.365,0.95
92,3.0,4,15,30,30,55,3.0,165,-6.59,15.76,-0.38,0.3939,0.9
93,3.0,4,15,50,20,40,3.0,140,-8.28,17.4,-0.28,0.3571,0.91
94,3.0,4,15,50,20,55,3.0,179,-20.24,26.32,-0.97,0.3799,0.78
95,3.0,4,15,50,30,40,3.0,137,-6.63,15.24,-0.17,0.365,0.94
96,3.0,4,15,50,30,55,3.0,165,-11.22,24.96,-0.38,0.3939,0.88
97,3.0,6,5,30,20,40,3.0,144,-11.38,12.04,-1.34,0.3333,0.76
98,3.0,6,5,30,20,55,3.0,196,-13.41,19.27,-1.14,0.3622,0.81
99,3.0,6,5,30,30,40,3.0,140,-9.66,10.34,-1.09,0.3357,0.8
100,3.0,6,5,30,30,55,3.0,171,-7.5,13.03,-0.54,0.3801,0.9
101,3.0,6,5,50,20,40,3.0,144,-18.47,19.48,-1.34,0.3333,0.76
102,3.0,6,5,50,20,55,3.0,196,-21.74,30.16,-1.14,0.3622,0.8
103,3.0,6,5,50,30,40,3.0,140,-15.82,16.87,-1.09,0.3357,0.79
104,3.0,6,5,50,30,55,3.0,171,-12.58,20.9,-0.54,0.3801,0.89
105,3.0,6,10,30,20,40,3.0,130,5.04,7.57,0.75,0.3385,1.19
106,3.0,6,10,30,20,55,3.0,158,-10.13,17.09,-0.7,0.3101,0.85
107,3.0,6,10,30,30,40,3.0,126,5.57,7.12,0.79,0.3333,1.21
108,3.0,6,10,30,30,55,3.0,140,-1.69,9.82,0.09,0.3214,1.01
109,3.0,6,10,50,20,40,3.0,130,7.98,12.38,0.75,0.3385,1.18
110,3.0,6,10,50,20,55,3.0,158,-16.85,26.98,-0.7,0.3101,0.84
111,3.0,6,10,50,30,40,3.0,126,8.89,11.66,0.79,0.3333,1.2
112,3.0,6,10,50,30,55,3.0,140,-3.41,15.83,0.09,0.3214,1.0
113,3.0,6,15,30,20,40,3.0,125,5.39,7.35,0.78,0.352,1.21
114,3.0,6,15,30,20,55,3.0,149,-10.25,14.74,-0.73,0.302,0.82
115,3.0,6,15,30,30,40,3.0,122,4.51,8.14,0.69,0.3361,1.18
116,3.0,6,15,30,30,55,3.0,131,-4.49,9.68,-0.21,0.3359,0.93
117,3.0,6,15,50,20,40,3.0,125,8.59,12.01,0.78,0.352,1.2
118,3.0,6,15,50,20,55,3.0,149,-17.03,23.52,-0.73,0.302,0.81
119,3.0,6,15,50,30,40,3.0,122,7.08,13.25,0.69,0.3361,1.18
120,3.0,6,15,50,30,55,3.0,131,-7.88,15.62,-0.21,0.3359,0.92
121,3.0,8,5,30,20,40,3.0,143,-9.71,11.1,-1.07,0.3427,0.8
122,3.0,8,5,30,20,55,3.0,194,-11.04,17.42,-0.87,0.366,0.86
123,3.0,8,5,30,30,40,3.0,139,-8.47,9.16,-0.9,0.3453,0.83
124,3.0,8,5,30,30,55,3.0,172,-5.27,12.89,-0.27,0.3837,0.94
125,3.0,8,5,50,20,40,3.0,143,-15.91,17.93,-1.07,0.3427,0.8
126,3.0,8,5,50,20,55,3.0,194,-18.14,27.45,-0.87,0.366,0.85
127,3.0,8,5,50,30,40,3.0,139,-13.97,15.04,-0.9,0.3453,0.82
128,3.0,8,5,50,30,55,3.0,172,-9.04,20.68,-0.27,0.3837,0.94
129,3.0,8,10,30,20,40,3.0,122,6.33,6.74,0.83,0.3115,1.23
130,3.0,8,10,30,20,55,3.0,149,-6.36,15.35,-0.32,0.2819,0.92
131,3.0,8,10,30,30,40,3.0,118,5.76,6.42,0.78,0.3051,1.21
132,3.0,8,10,30,30,55,3.0,137,-0.57,10.55,0.19,0.2847,1.03
133,3.0,8,10,50,20,40,3.0,122,10.17,11.12,0.83,0.3115,1.22
134,3.0,8,10,50,20,55,3.0,149,-11.02,24.45,-0.32,0.2819,0.91
135,3.0,8,10,50,30,40,3.0,118,9.19,10.59,0.78,0.3051,1.21
136,3.0,8,10,50,30,55,3.0,137,-1.63,17.16,0.19,0.2847,1.02
137,3.0,8,15,30,20,40,3.0,113,15.46,7.56,1.47,0.3274,1.53
138,3.0,8,15,30,20,55,3.0,131,1.51,13.53,0.34,0.2824,1.08
139,3.0,8,15,30,30,40,3.0,113,13.3,7.92,1.3,0.3097,1.45
140,3.0,8,15,30,30,55,3.0,123,4.64,8.84,0.59,0.2927,1.16
141,3.0,8,15,50,20,40,3.0,113,26.2,12.4,1.47,0.3274,1.52
142,3.0,8,15,50,20,55,3.0,131,1.7,21.69,0.34,0.2824,1.07
143,3.0,8,15,50,30,40,3.0,113,22.29,12.96,1.3,0.3097,1.44
144,3.0,8,15,50,30,55,3.0,123,7.03,14.47,0.59,0.2927,1.15
145,4.0,4,5,30,20,40,3.0,138,-18.15,18.76,-2.44,0.3913,0.6
146,4.0,4,5,30,20,55,3.0,175,-20.06,21.44,-2.04,0.4114,0.68
147,4.0,4,5,30,30,40,3.0,139,-16.7,17.32,-2.18,0.4101,0.64
148,4.0,4,5,30,30,55,3.0,163,-10.29,17.66,-0.86,0.4479,0.84
149,4.0,4,5,50,20,40,3.0,138,-28.6,29.48,-2.44,0.3913,0.6
150,4.0,4,5,50,20,55,3.0,175,-31.5,33.43,-2.04,0.4114,0.67
151,4.0,4,5,50,30,40,3.0,139,-26.47,27.39,-2.18,0.4101,0.63
152,4.0,4,5,50,30,55,3.0,163,-16.95,27.83,-0.86,0.4479,0.83
153,4.0,4,10,30,20,40,3.0,131,-13.42,15.7,-1.29,0.374,0.71
154,4.0,4,10,30,20,55,3.0,0,0,0,0,0,0
155,4.0,4,10,30,30,40,3.0,0,0,0,0,0,0
156,4.0,4,10,30,30,55,3.0,0,0,0,0,0,0
157,4.0,4,10,50,20,40,3.0,0,0,0,0,0,0
158,4.0,4,10,50,20,55,3.0,161,-29.27,31.54,-1.66,0.3913,0.68
159,4.0,4,10,50,30,40,3.0,0,0,0,0,0,0
160,4.0,4,10,50,30,55,3.0,0,0,0,0,0,0
161,4.0,4,15,30,20,40,3.0,128,-11.16,13.96,-1.03,0.375,0.76
162,4.0,4,15,30,20,55,3.0,157,-17.33,18.98,-1.49,0.3949,0.7
163,4.0,4,15,30,30,40,3.0,128,-10.87,13.35,-0.99,0.3828,0.77
164,4.0,4,15,30,30,55,3.0,149,-11.36,19.05,-0.88,0.4228,0.79
165,4.0,4,15,50,20,40,3.0,128,-18.28,22.29,-1.03,0.375,0.75
166,4.0,4,15,50,20,55,3.0,157,-27.64,29.75,-1.49,0.3949,0.69
167,4.0,4,15,50,30,40,3.0,128,-17.84,21.38,-0.99,0.3828,0.76
168,4.0,4,15,50,30,55,3.0,149,-18.68,29.81,-0.88,0.4228,0.77
169,4.0,6,5,30,20,40,3.0,127,-18.36,18.48,-2.33,0.3465,0.62
170,4.0,6,5,30,20,55,3.0,167,-20.19,21.75,-1.89,0.4012,0.7
171,4.0,6,5,30,30,40,3.0,124,-14.85,14.98,-1.78,0.3629,0.69
172,4.0,6,5,30,30,55,3.0,155,-12.85,15.8,-1.12,0.4194,0.8
173,4.0,6,5,50,20,40,3.0,127,-28.94,29.11,-2.33,0.3465,0.62
174,4.0,6,5,50,20,55,3.0,167,-31.74,33.92,-1.89,0.4012,0.69
175,4.0,6,5,50,30,40,3.0,124,-23.77,23.96,-1.78,0.3629,0.69
176,4.0,6,5,50,30,55,3.0,155,-20.91,25.22,-1.12,0.4194,0.8
177,4.0,6,10,30,20,40,3.0,116,-5.59,8.67,-0.34,0.3362,0.91
